Date,Company,Price Close_lag1,Volume_lag1,Return,Mkt-RF_lag1,SMB_lag1,HML_lag1,RMW_lag1,CMA_lag1,RF_lag1
2023-10-25,FTNT.O,"57,54",4714843.0,-0.0278,0.71,0.09,-0.58,-0.91,0.15,0.021
2023-10-26,FTNT.O,"55,94",4252305.0,-0.0039,-1.58,-0.02,0.85,1.48,0.21,0.021
2023-10-27,FTNT.O,"55,72",5490516.0,0.0097,-1.15,1.18,1.68,-0.76,0.47,0.021
2023-10-30,FTNT.O,"56,26",5318005.0,0.0011,-0.53,-0.58,-0.58,0.43,-0.96,0.021
2023-10-31,FTNT.O,"56,32",5594170.0,0.0151,1.15,-0.33,0.28,-0.15,0.17,0.021
2023-11-01,FTNT.O,"57,17",4076541.0,0.0024,0.63,0.05,-0.07,-0.85,0.06,0.021
2023-11-02,FTNT.O,"57,31",5825489.0,0.0049,0.93,-0.68,-0.02,0.12,-0.71,0.021
2023-11-03,FTNT.O,"57,59",9607506.0,-0.1235,1.95,0.71,1.64,-0.23,0.53,0.021
2023-11-06,FTNT.O,"50,48",38074360.0,-0.0075,1.1,1.73,0.6,-1.19,0.18,0.021
2023-11-07,FTNT.O,"50,1",16541931.0,-0.0116,0.01,-1.22,-0.66,0.87,-0.2,0.021
2023-11-08,FTNT.O,"49,52",14908340.0,0.0145,0.35,-0.41,-1.2,-1.26,-0.05,0.021
2023-11-09,FTNT.O,"50,24",13596965.0,-0.0113,-0.04,-1.01,-0.46,0.45,0.04,0.021
2023-11-10,FTNT.O,"49,67",9651259.0,0.0232,-0.89,-1.01,0.5,0.53,-0.3,0.021
2023-11-13,FTNT.O,"50,82",6709583.0,-0.0102,1.49,-0.61,-0.45,0.74,-0.37,0.021
2023-11-14,FTNT.O,"50,3",6038855.0,0.0203,-0.05,0.06,-0.26,-0.29,-0.17,0.021
2023-11-15,FTNT.O,"51,32",6778053.0,-0.0051,2.18,3.23,1.19,-0.98,-0.24,0.021
2023-11-16,FTNT.O,"51,06",6946374.0,-0.0125,0.18,0.13,0.5,-0.13,0.5,0.021
2023-11-17,FTNT.O,"50,42",8052127.0,0.0167,-0.11,-1.5,-0.3,-0.45,-0.37,0.021
2023-11-20,FTNT.O,"51,26",5021557.0,0.0127,0.25,1.22,0.62,0.03,0.36,0.021
2023-11-21,FTNT.O,"51,91",4915386.0,0.0129,0.73,-0.11,-0.28,-0.3,-0.31,0.021
2023-11-22,FTNT.O,"52,58",5441893.0,0.0074,-0.32,-0.96,-0.62,0.42,-0.03,0.021
2023-11-24,FTNT.O,"52,97",5587417.0,0.0087,0.42,0.19,-0.04,-0.38,0.01,0.021
2023-11-27,FTNT.O,"53,43",2847395.0,0.0058,0.11,0.63,0.18,-0.51,0.23,0.021
2023-11-28,FTNT.O,"53,74",7096021.0,-0.0177,-0.23,-0.14,-0.08,0.13,-0.25,0.021
2023-11-29,FTNT.O,"52,79",5731191.0,0.0153,0.06,-0.3,0.05,-0.16,0.03,0.021
2023-11-30,FTNT.O,"53,6",7385040.0,-0.0194,0.01,0.58,0.69,-0.76,-0.06,0.021
2023-12-01,FTNT.O,"52,56",16805144.0,-0.0013,0.35,-0.4,0.01,-0.11,0.18,0.021
2023-12-04,FTNT.O,"52,49",7175496.0,-0.0046,0.82,2.23,1.07,-0.37,0.57,0.021
2023-12-05,FTNT.O,"52,25",4726168.0,0.0052,-0.44,1.51,0.5,-0.44,0.77,0.021
2023-12-06,FTNT.O,"52,52",4242030.0,-0.0131,-0.21,-1.05,-0.85,0.18,-0.41,0.021
2023-12-07,FTNT.O,"51,83",4055891.0,-0.0098,-0.39,0.36,0.33,-0.22,0.27,0.021
2023-12-08,FTNT.O,"51,32",6341135.0,0.0164,0.81,0.09,0.49,0.08,-0.19,0.021
2023-12-11,FTNT.O,"52,16",4620508.0,0.0284,0.45,0.16,0.53,-0.13,-0.08,0.021
